tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,X1,id,imdbid,rating,title,year
tt1219827,6.4,163321,movie,Ghost in the Shell,Ghost in the Shell,0,2017,,107,"Action,Drama,Sci-Fi",7610,7551,1219827,3,Ghost in the Shell,2017
tt1220198,5.9,68725,movie,The Fourth Kind,The Fourth Kind,0,2009,,98,"Mystery,Sci-Fi,Thriller",5103,4062,1220198,3,"Fourth Kind, The",2009
tt1220214,6,9426,movie,Heartless,Heartless,0,2009,,114,"Drama,Fantasy,Horror",5031,5202,1220214,1,Heartless,2009
tt1220634,5.9,149733,movie,Resident Evil: Afterlife,Resident Evil: Afterlife,0,2010,,96,"Action,Adventure,Horror",5349,1567,1220634,3,Resident Evil: Afterlife,2010
tt1221141,6.5,3723,movie,The Headless Woman,La mujer sin cabeza,0,2008,,87,"Drama,Mystery,Thriller",4725,7071,1221141,3,La mujer sin cabeza,2008
tt1221208,6.5,4530,movie,Frankie & Alice,Frankie & Alice,0,2010,,101,"Biography,Drama",5205,6398,1221208,3,Frankie and Alice,2010
tt1226229,6.4,158903,movie,Get Him to the Greek,Get Him to the Greek,0,2010,,109,"Adventure,Comedy,Music",5350,870,1226229,1,Get Him To The Greek,2010
tt1226236,7.1,17619,movie,I Am Love,Io sono l'amore,0,2009,,120,"Drama,Romance",5286,1005,1226236,3,I Am Love,2010
tt1226240,7.1,12678,movie,A Late Quartet,A Late Quartet,0,2012,,105,"Drama,Music",6113,3964,1226240,3,A Late Quartet,2012
tt1226273,6.6,83072,movie,Edge of Darkness,Edge of Darkness,0,2010,,117,"Crime,Drama,Mystery",5464,3459,1226273,1,Edge of Darkness,2010
tt1226291,7.3,325,movie,Blind Loves,Slepé lásky,0,2008,,77,"Documentary,Drama",4622,6893,1226291,2,Blind Loves,2008
tt1226681,6.6,26079,movie,Pontypool,Pontypool,0,2008,,93,"Fantasy,Horror,Thriller",4795,952,1226681,0,Pontypool,2008
tt1226753,6.9,59917,movie,The Debt,The Debt,0,2010,,113,"Drama,Thriller",5267,2661,1226753,3,"Debt, The",2010
tt1226774,7.5,49819,movie,In the Loop,In the Loop,0,2009,,106,Comedy,4858,496,1226774,3,In the Loop,2009
tt1227787,6.8,3397,movie,London River,London River,0,2009,,84,"Drama,Mystery",4939,1214,1227787,3,London River,2009
tt1227926,8.6,39007,tvMiniSeries,Dr. Horrible's Sing-Along Blog,Dr. Horrible's Sing-Along Blog,0,2008,2008,42,"Comedy,Musical,Sci-Fi",4689,8387,1227926,0,Dr. Horrible&#39;s Sing-Along Blog,2008
tt1227929,7.6,793,movie,Herb & Dorothy,Herb & Dorothy,0,2008,,87,"Biography,Documentary",4768,3281,1227929,3,Herb &amp; Dorothy,2008
tt1228705,7,619494,movie,Iron Man 2,Iron Man 2,0,2010,,124,"Action,Sci-Fi",5331,797,1228705,3,Iron Man 2,2010
tt1228987,7.1,104546,movie,Let Me In,Let Me In,0,2010,,116,"Drama,Fantasy,Horror",5461,1649,1228987,1,Let Me In,2010
tt1229238,7.4,414857,movie,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,0,2011,,132,"Action,Adventure,Thriller",5696,2967,1229238,1,Mission: Impossible - Ghost Protocol,2011
tt1229340,6.3,151030,movie,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,0,2013,,119,Comedy,6352,5309,1229340,3,Anchorman 2: The Legend Continues,2013
tt1229381,6.6,3333,movie,Outside the Law,Hors la loi,0,2010,,138,"Crime,Drama,War",5290,2775,1229381,1,Outside the Law,2010
tt1229822,7.4,72641,movie,Jane Eyre,Jane Eyre,0,2011,,120,"Drama,Romance",5816,2376,1229822,3,Jane Eyre,2011
tt1230215,6,4024,movie,Not Fade Away,Not Fade Away,0,2012,,112,Drama,6171,3837,1230215,3,Not Fade Away,2012
tt1230414,6.6,78456,movie,It's Complicated,It's Complicated,0,2009,,120,"Comedy,Drama,Romance",4839,771,1230414,3,It&#39;s Complicated,2009
tt1230424,6.3,152,movie,Dance Subaru,Dance Subaru,0,2009,,105,Drama,5131,3846,1230424,3,Dance Subaru,2009
tt1231583,6.6,297659,movie,Due Date,Due Date,0,2010,,95,"Adventure,Comedy,Drama",5170,2190,1231583,1,Due Date,2010
tt1231587,6.4,151003,movie,Hot Tub Time Machine,Hot Tub Time Machine,0,2010,,101,"Comedy,Sci-Fi",5306,715,1231587,1,Hot Tub Time Machine,2010
tt1232200,5.6,80261,movie,That's My Boy,That's My Boy,0,2012,,116,Comedy,6036,3282,1232200,1,That&#39;s My Boy,2012
tt1232207,7.4,39056,movie,Capitalism: A Love Story,Capitalism: A Love Story,0,2009,,127,"Crime,Documentary,News",5078,726,1232207,1,Capitalism: A Love Story,2009
